full_name,html_url,description,created_at,stars,language,query
The-Vibe-Company/companion,https://github.com/The-Vibe-Company/companion,"Web UI for Claude Code built on a reverse-engineered WebSocket protocol. Launch sessions, stream responses, approve tools.  All from your browser / mobile",2026-02-07T06:45:00Z,886,TypeScript,claude code created:>2026-01-27
lynaghk/vibe,https://github.com/lynaghk/vibe,Easy Linux virtual machine on MacOS to sandbox LLM agents.,2026-01-28T13:04:55Z,684,Rust,vibe coding in:readme created:>2026-01-27
vibe-music/vibe-music-web,https://github.com/vibe-music/vibe-music-web,"Open-source cloud music player with a bring-your-own-music model. Local control, optional sync, zero platform dependency.",2026-01-31T18:44:31Z,165,JavaScript,vibe coding in:readme created:>2026-01-27
BehiSecc/VibeSec-Skill,https://github.com/BehiSecc/VibeSec-Skill,This skill helps Claude write secure code and prevent common vulnerabilities.,2026-02-02T07:10:42Z,420,Unknown,claude code created:>2026-01-27
zarazhangrui/frontend-slides,https://github.com/zarazhangrui/frontend-slides,Create beautiful slides on the web using Claude's frontend skills,2026-01-28T00:42:34Z,828,Unknown,ai coding in:readme created:>2026-01-27
autogame-17/evolver,https://github.com/autogame-17/evolver,The Self-Evolving Agent Protocol (PCEC). It writes its own code.,2026-02-01T05:59:24Z,393,JavaScript,vibe coding in:readme created:>2026-01-27
RefoundAI/lenny-skills,https://github.com/RefoundAI/lenny-skills,"86 product management skills from Lenny's Podcast for Claude Code and AI agents. Hiring, user research, strategy, shipping, and more.",2026-01-29T16:14:48Z,181,Unknown,ai coding in:readme created:>2026-01-27
Neurons-AI/vibecodekit,https://github.com/Neurons-AI/vibecodekit,Vibe Coding Kit from Neurons AI,2026-02-01T19:02:56Z,6,Dockerfile,vibe coding in:readme created:>2026-01-27
jonathanpeppers/agentic-engineers,https://github.com/jonathanpeppers/agentic-engineers,"Documents and links from our group, ""Agentic Engineers"", at Microsoft.",2026-01-30T16:13:02Z,8,Unknown,vibe coding in:readme created:>2026-01-27
alexandrepedrosaai/Manus-Copilot-Github-Anomalis-Coopetition-Integration,https://github.com/alexandrepedrosaai/Manus-Copilot-Github-Anomalis-Coopetition-Integration,"The Manus Connector played a central role in boosting GitHub Copilotâ€™s efficiency for site and API creation (PROTO-AGI). Acting as a Blockchainâ€‘linked AI agent, it ensured auditability and governance.",2026-02-01T05:05:53Z,9,Go,vibe coding in:readme created:>2026-01-27
voytek/tocify,https://github.com/voytek/tocify,Ingest ToCs and push links to papers relevant to me,2026-02-05T00:44:01Z,8,Python,vibe coding in:readme created:>2026-01-27
anombyte93/claude-session-init,https://github.com/anombyte93/claude-session-init,"Claude Code skill: bootstraps session context, organizes project files, generates CLAUDE.md",2026-02-10T01:06:14Z,34,Shell,claude code created:>2026-01-27
seedprod/openclaw-prompts-and-skills,https://github.com/seedprod/openclaw-prompts-and-skills,Telegram bot that talks to headless Claude Code - proof of concept,2026-01-31T14:24:10Z,33,Python,vibe coding in:readme created:>2026-01-27
nclamvn/bom-control-ui,https://github.com/nclamvn/bom-control-ui,Bá»œM Control UI - Standalone gateway control interface,2026-02-01T04:19:35Z,9,TypeScript,vibe coding in:readme created:>2026-01-27
GCWing/BitFun,https://github.com/GCWing/BitFun,"BitFun is an Agentic Development Environment (ADE) featuring a cutting-edge Code Agent system with four modes â€” Agentic, Plan, Debug, and Review. Extensible via MCP, Skills, custom Agents and Rules. B",2026-02-02T09:52:10Z,19,TypeScript,vibe coding in:readme created:>2026-01-27
1702KAI/bugs-bunny-ai,https://github.com/1702KAI/bugs-bunny-ai,ehehehehe,2026-02-06T08:08:24Z,0,Python,vibe coding in:readme created:>2026-01-27
springmusk026/Il2CppDumper-Python,https://github.com/springmusk026/Il2CppDumper-Python,A high-performance tool for extracting metadata from Unity IL2CPP compiled games.,2026-02-03T02:21:50Z,10,Python,vibe coding in:readme created:>2026-01-27
YuanheZ/lean-stat-learning-theory,https://github.com/YuanheZ/lean-stat-learning-theory,"The first comprehensive Lean 4 formalization of statistical learning theory, featuring Gaussian Lipschitz concentration and Dudley's entropy integral-establishes a reusable foundation for formalizing ",2026-02-01T19:34:28Z,24,Lean,vibe coding in:readme created:>2026-01-27
tobieapb/claude-interactive-documentation-workflow,https://github.com/tobieapb/claude-interactive-documentation-workflow,"I used to whiteboard, then code. Now I markdown, then code. This is how I vibe-code: I can direct, guardrail, and understand the LLM-built code, come back to it 6 months later and actually understand ",2026-02-01T16:10:24Z,88,Unknown,claude code created:>2026-01-27
hwanyu112/VIBE-Benchmark,https://github.com/hwanyu112/VIBE-Benchmark,,2026-02-02T05:48:36Z,21,Python,vibe coding in:readme created:>2026-01-27
Spinotek-Organization/spinotek-hima-ti-polhas,https://github.com/Spinotek-Organization/spinotek-hima-ti-polhas,,2026-02-02T11:46:57Z,0,HTML,vibe coding in:readme created:>2026-01-27
knot0-com/vibe-testing,https://github.com/knot0-com/vibe-testing,"Pressure-test your specs with LLM reasoning before writing code. Agent skill for Claude Code, Codex, Gemini CLI, and 14+ coding agents.",2026-02-01T04:13:58Z,10,Unknown,vibe coding in:readme created:>2026-01-27
chongdashu/love2d-pocket-bomber-game,https://github.com/chongdashu/love2d-pocket-bomber-game,Vibe code a bomberman clone using Claude Code and Love2D skills,2026-01-30T16:42:53Z,9,Lua,vibe coding in:readme created:>2026-01-27
verylabs/veryterm,https://github.com/verylabs/veryterm,"Multi-project terminal manager for vibe coders â€” manage CLI tools, dev servers, and prompt history in one window ",2026-02-06T14:38:55Z,14,TypeScript,vibe coding in:readme created:>2026-01-27
ncr5012/executive,https://github.com/ncr5012/executive,An app to maximize the very best of human developer skills: executive control of AI Agents,2026-02-01T15:11:02Z,19,HTML,vibe coding in:readme created:>2026-01-27
aresbit/MateBot,https://github.com/aresbit/MateBot,"kimi code agent of tg, with Claude Code Yolo style",2026-01-28T13:59:13Z,38,JavaScript,vibe coding in:readme created:>2026-01-27
cuongpt083/smart-pole-skill,https://github.com/cuongpt083/smart-pole-skill,Use SMART POLE prompt engineering to enrichment your LLM Prompt,2026-01-29T01:39:08Z,22,Unknown,vibe coding in:readme created:>2026-01-27
KylerD/vibe-check,https://github.com/KylerD/vibe-check,,2026-01-29T10:08:32Z,6,JavaScript,vibe coding in:readme created:>2026-01-27
fufankeji/VibeCodingCourse_v1,https://github.com/fufankeji/VibeCodingCourse_v1,Vibe Coding AI Full Stack Development Practical Training 2026 Â· The First AI Programming Bootcamp,2026-02-02T06:06:21Z,9,HTML,vibe coding in:readme created:>2026-01-27
Ejae-dev/vibe-check,https://github.com/Ejae-dev/vibe-check,,2026-02-02T05:15:02Z,5,TypeScript,vibe coding in:readme created:>2026-01-27
gavrielc/nanoclaw,https://github.com/gavrielc/nanoclaw,"A lightweight alternative to Clawdbot / OpenClaw that runs in Apple containers for security. Connects to WhatsApp, has memory, scheduled jobs, and runs directly on Anthropic's Agents SDK",2026-01-31T15:47:22Z,6801,TypeScript,ai coding in:readme created:>2026-01-27
HKUDS/nanobot,https://github.com/HKUDS/nanobot,"""ðŸˆ nanobot: The Ultra-Lightweight Clawdbot""",2026-02-01T07:16:15Z,15530,Python,ai coding in:readme created:>2026-01-27
cisco-ai-defense/skill-scanner,https://github.com/cisco-ai-defense/skill-scanner,Security Scanner for Agent Skills,2026-01-29T01:31:32Z,688,Python,ai coding in:readme created:>2026-01-27
zhukunpenglinyutong/codemoss,https://github.com/zhukunpenglinyutong/codemoss,ä¸‹ä¸€ä»£VibeCodingï¼Œä½•é¡»ç”¨IDE,2026-02-03T15:08:25Z,778,TypeScript,ai coding in:readme created:>2026-01-27
rohitg00/pro-workflow,https://github.com/rohitg00/pro-workflow,"Battle-tested Claude Code workflows from power users. Self-correcting memory, parallel worktrees, wrap-up rituals, and the 80/20 AI coding ratio.",2026-02-01T19:47:29Z,820,JavaScript,claude code created:>2026-01-27
menkesu/awesome-pm-skills,https://github.com/menkesu/awesome-pm-skills,28 AI-powered PM skills from Lenny's Podcast. Transform Claude Code & Cursor into world-class product partners.,2026-01-28T20:50:34Z,154,Unknown,claude code created:>2026-01-27
sseanliu/VisionClaw,https://github.com/sseanliu/VisionClaw,Real-time AI assistant for Meta Ray-Ban smart glasses -- voice + vision + agentic actions via Gemini Live and OpenClaw,2026-02-06T04:54:31Z,621,Unknown,ai coding in:readme created:>2026-01-27
ygwyg/MAHORAGA,https://github.com/ygwyg/MAHORAGA,"autonomous trading agent powered by social sentiment analysis and ai that learns, grows, and adapts",2026-02-01T01:49:05Z,484,TypeScript,ai coding in:readme created:>2026-01-27
stepfun-ai/Step-3.5-Flash,https://github.com/stepfun-ai/Step-3.5-Flash,"Fast, Sharp & Reliable Agentic Intelligence",2026-01-31T02:57:03Z,1166,C++,ai coding in:readme created:>2026-01-27
op7418/CodePilot,https://github.com/op7418/CodePilot,"A native desktop GUI for Claude Code â€” chat, code, and manage projects visually. Built with Electron + Next.js.",2026-02-06T12:38:55Z,1419,TypeScript,claude code created:>2026-01-27
lukilabs/beautiful-mermaid,https://github.com/lukilabs/beautiful-mermaid,,2026-01-28T16:31:46Z,6813,TypeScript,ai coding in:readme created:>2026-01-27
YougLin-dev/Aha-Loop,https://github.com/YougLin-dev/Aha-Loop,"[MVP] Aha Loop is a fully autonomous AI development system, extended from the core ideas of Ralph. It's not just an execution engine, but a complete AI development framework with planning capabilities",2026-02-01T01:43:13Z,171,Shell,ai coding in:readme created:>2026-01-27
strongdm/attractor,https://github.com/strongdm/attractor,"nlspec of StrongDM's Attractor, a non-interactive Coding Agent sufficient for use in a Software Factory",2026-02-05T23:40:01Z,407,Unknown,ai coding in:readme created:>2026-01-27
BlockRunAI/ClawRouter,https://github.com/BlockRunAI/ClawRouter,"Smart LLM router â€” save 78% on inference costs. 30+ models, one wallet, x402 micropayments.",2026-02-03T17:32:00Z,1992,TypeScript,ai coding in:readme created:>2026-01-27
crshdn/mission-control,https://github.com/crshdn/mission-control,"AI Agent Orchestration Dashboard - Manage AI agents, assign tasks, and coordinate multi-agent collaboration via OpenClaw Gateway.",2026-01-31T13:27:48Z,291,TypeScript,ai coding in:readme created:>2026-01-27
Prismer-AI/Prismer,https://github.com/Prismer-AI/Prismer,Open Source OpenAI Prism Alternative,2026-01-28T09:17:24Z,685,TypeScript,ai coding in:readme created:>2026-01-27
justlovemaki/OpenClaw-Docker-CN-IM,https://github.com/justlovemaki/OpenClaw-Docker-CN-IM,OpenClaw çš„ä¸­å›½IMå¹³å°æ•´åˆDockerç‰ˆæœ¬ï¼Œé¢„è£…å¹¶é…ç½®äº†é£žä¹¦ã€é’‰é’‰ã€QQæœºå™¨äººã€ä¼ä¸šå¾®ä¿¡ç­‰ä¸»æµä¸­å›½IMè½¯ä»¶çš„æ’ä»¶ï¼Œè®©æ‚¨å¯ä»¥å¿«é€Ÿéƒ¨ç½²ä¸€ä¸ªæ”¯æŒå¤šä¸ªä¸­å›½IMå¹³å°çš„ AI æœºå™¨äººç½‘å…³,2026-02-01T11:42:18Z,1343,Shell,ai coding in:readme created:>2026-01-27
pierceboggan/primer,https://github.com/pierceboggan/primer,Get your repo ready for AI.,2026-01-29T03:37:22Z,587,TypeScript,ai coding in:readme created:>2026-01-27
imxv/Pretty-mermaid-skills,https://github.com/imxv/Pretty-mermaid-skills,"To provide AI with Mermaid chart rendering capability, supporting both SVG and ASCII output formats",2026-01-30T06:41:40Z,452,JavaScript,ai coding in:readme created:>2026-01-27
sonpiaz/evox,https://github.com/sonpiaz/evox,,2026-02-01T01:30:24Z,108,TypeScript,ai coding in:readme created:>2026-01-27
sanyuan0704/code-review-expert,https://github.com/sanyuan0704/code-review-expert,"Expert code review skill: SOLID, security, performance, error handling, boundary conditions",2026-02-04T06:44:11Z,651,Unknown,ai coding in:readme created:>2026-01-27
rohunvora/x-research-skill,https://github.com/rohunvora/x-research-skill,"X/Twitter research skill for Claude Code and OpenClaw. Agentic search, thread following, deep-dives, sourced briefings.",2026-02-08T04:35:51Z,516,TypeScript,claude code created:>2026-01-27
sipeed/picoclaw,https://github.com/sipeed/picoclaw,picoclaw,2026-02-04T12:32:35Z,651,Go,ai coding in:readme created:>2026-01-27
vishakhasadhwani/cloud-skills-roadmap,https://github.com/vishakhasadhwani/cloud-skills-roadmap,,2026-01-29T03:01:29Z,69,Unknown,ai coding in:readme created:>2026-01-27
Vasco0x4/AIDA,https://github.com/Vasco0x4/AIDA,AI-Driven Security Assessment - Connect AI to 400+ pentesting tools via MCP,2026-01-31T18:51:52Z,168,JavaScript,ai coding in:readme created:>2026-01-27
jiweiyeah/Skills-Manager,https://github.com/jiweiyeah/Skills-Manager,"A high-performance desktop application for managing skills across multiple AI coding assistants. Seamlessly organize, sync, and share skills for Claude Codeã€Codexã€Opencode and other AI tools. Built wi",2026-02-06T05:25:20Z,230,Unknown,ai coding in:readme created:>2026-01-27
lukehinds/nono,https://github.com/lukehinds/nono,"A secure, kernel-enforced capability sandbox for AI agents. It's the opposite to YOLO",2026-01-31T09:25:45Z,309,Rust,ai coding in:readme created:>2026-01-27
lalizlabeth/cursor-collaborative-project,https://github.com/lalizlabeth/cursor-collaborative-project,,2026-01-31T21:13:16Z,0,TypeScript,cursor project created:>2026-01-27
beautyfree/cursor-docs-hook,https://github.com/beautyfree/cursor-docs-hook,Cursor Agent hook so project documentation stays consistent after edits.,2026-02-01T00:51:07Z,6,JavaScript,cursor project created:>2026-01-27
itsOmSarraf/vercel-github-actions-deploy-skills,https://github.com/itsOmSarraf/vercel-github-actions-deploy-skills,"Agent skill for Cursor, Claude Code & Windsurf â€” deploy Vercel projects from GitHub Actions on the free Hobby plan using Git Author Override",2026-02-06T15:02:14Z,19,Unknown,cursor project created:>2026-01-27
jhl-labs/vibe-project,https://github.com/jhl-labs/vibe-project,"AI Agent(Claude, Cursor, Roo Code)ì™€ í•¨ê»˜í•˜ëŠ” ì—”í„°í”„ë¼ì´ì¦ˆê¸‰ Vibe Coding í”„ë¡œì íŠ¸ í…œí”Œë¦¿",2026-01-28T05:05:12Z,2,Shell,cursor project created:>2026-01-27
r5k2kkrtzm-cyber/cursor_project,https://github.com/r5k2kkrtzm-cyber/cursor_project,cursoré¡¹ç›®,2026-02-04T02:19:54Z,0,Unknown,cursor project created:>2026-01-27
Andres-007/Build-cursor,https://github.com/Andres-007/Build-cursor,Cursor project,2026-01-31T15:50:03Z,0,Astro,cursor project created:>2026-01-27
awesome-mm/ai_project,https://github.com/awesome-mm/ai_project,cursor ai project,2026-02-04T14:39:17Z,0,TypeScript,cursor project created:>2026-01-27
pontshoaz/Cursor,https://github.com/pontshoaz/Cursor,Cursor Project,2026-02-06T08:45:04Z,0,Unknown,cursor project created:>2026-01-27
ConnorRath/cursor-project,https://github.com/ConnorRath/cursor-project,Repository for cursor project,2026-01-31T23:55:22Z,0,Python,cursor project created:>2026-01-27
etafoh/cursor-claude,https://github.com/etafoh/cursor-claude,my cursor project,2026-02-05T22:01:26Z,0,CSS,cursor project created:>2026-01-27
francomedina1425-code/cursorProject,https://github.com/francomedina1425-code/cursorProject,cursorProjectcursorProjectcursorProjectcursorProject,2026-02-09T22:03:21Z,0,Unknown,cursor project created:>2026-01-27
AryanNair01/CursorProjects,https://github.com/AryanNair01/CursorProjects,A Sample to What can be achieved with AI,2026-02-07T15:53:26Z,0,Unknown,cursor project created:>2026-01-27
asure1008/cursorProject,https://github.com/asure1008/cursorProject,cursor å·¥ç¨‹é¡¹ç›®,2026-02-07T04:36:57Z,0,Unknown,cursor project created:>2026-01-27
01seung21-debug/my-first-cursor-project,https://github.com/01seung21-debug/my-first-cursor-project,my-first-cursor-project,2026-02-06T12:20:56Z,0,HTML,cursor project created:>2026-01-27
Vedant-Bachhav/cursor_projects,https://github.com/Vedant-Bachhav/cursor_projects,all cursor prototypes saved here,2026-02-03T09:16:54Z,0,Unknown,cursor project created:>2026-01-27
wens-dev/Petrol-Project,https://github.com/wens-dev/Petrol-Project,Petrol project created with cursor,2026-01-28T17:42:28Z,0,Unknown,cursor project created:>2026-01-27
cortiz2894/mouse-effects,https://github.com/cortiz2894/mouse-effects,"A collection of interactive mouse effects built with Next.js, Three.js, and GSAP. This project showcases creative cursor interactions including water ripple distortions, image trails, and liquid mask ",2026-01-30T16:40:24Z,8,TypeScript,cursor project created:>2026-01-27
bruno2fly/cursor-proposal-project,https://github.com/bruno2fly/cursor-proposal-project,Repository for Cursor proposal project,2026-02-10T05:40:33Z,0,TypeScript,cursor project created:>2026-01-27
wolenski-hh/prop-pilot,https://github.com/wolenski-hh/prop-pilot,Cursor AI Hackathon project,2026-01-31T11:43:08Z,0,Unknown,cursor project created:>2026-01-27
gpablo6/cursor-hackathon-25,https://github.com/gpablo6/cursor-hackathon-25,Project for Cursor Hackathon ,2026-01-31T16:43:37Z,0,TypeScript,cursor project created:>2026-01-27
fullmetalfenix/cursor-class-project-game,https://github.com/fullmetalfenix/cursor-class-project-game,Game being created in cursor to test features as part of a class on cursor agents.,2026-02-02T00:12:15Z,0,JavaScript,cursor project created:>2026-01-27
Lawal-Gbolahan/my-first-project,https://github.com/Lawal-Gbolahan/my-first-project,My first project using Cursor and GitHub,2026-02-05T17:13:00Z,0,Unknown,cursor project created:>2026-01-27
marcogiuliani69/cursorHello,https://github.com/marcogiuliani69/cursorHello,My First project using Cursor,2026-02-03T14:32:30Z,0,Unknown,cursor project created:>2026-01-27
zulqar19/Cursor-clone,https://github.com/zulqar19/Cursor-clone,cursor clone for cohort project,2026-02-03T10:23:30Z,0,HTML,cursor project created:>2026-01-27
HodaElsayaaD/Rafiq,https://github.com/HodaElsayaaD/Rafiq,Backend project using cursor AI,2026-01-31T02:09:29Z,0,Unknown,cursor project created:>2026-01-27
muxammadumar/cursor-rules,https://github.com/muxammadumar/cursor-rules,Cursor rules for my projects,2026-02-02T05:36:33Z,0,Unknown,cursor project created:>2026-01-27
emrocgy-cmyk/CURSOR_PROJECT,https://github.com/emrocgy-cmyk/CURSOR_PROJECT,CURSOR_PROJECT,2026-02-02T12:27:00Z,0,Python,cursor project created:>2026-01-27
uxzamora/Cool-Coding-Project,https://github.com/uxzamora/Cool-Coding-Project,A space to play with Git and Cursor ,2026-02-05T23:43:59Z,0,HTML,cursor project created:>2026-01-27
jplummer/project-template,https://github.com/jplummer/project-template,Agent configuration template for Cursor and Claude Code projects,2026-02-09T16:19:57Z,0,Shell,cursor project created:>2026-01-27
PriyankaVagadre/cursor-project1,https://github.com/PriyankaVagadre/cursor-project1,,2026-01-30T18:06:55Z,0,Unknown,cursor project created:>2026-01-27
rohitg00/awesome-claude-code-toolkit,https://github.com/rohitg00/awesome-claude-code-toolkit,"The most comprehensive toolkit for Claude Code -- 135 agents, 35 curated skills (+15,000 via SkillKit), 42 commands, 120 plugins, 19 hooks, 15 rules, 7 templates, 6 MCP configs, and more.",2026-02-04T21:09:33Z,434,JavaScript,claude code created:>2026-01-27
pedrohcgs/claude-code-my-workflow,https://github.com/pedrohcgs/claude-code-my-workflow,"A ready-to-fork Claude Code template for academics using LaTeX/Beamer + R. Multi-agent review, quality gates, adversarial QA, and replication protocols.",2026-02-06T17:29:50Z,158,HTML,claude code created:>2026-01-27
Alishahryar1/free-claude-code,https://github.com/Alishahryar1/free-claude-code,Use claude-code for free with NVIDIA-NIM via the terminal CLI or telegram,2026-01-28T19:02:30Z,210,Python,claude code created:>2026-01-27
godagoo/claude-telegram-relay,https://github.com/godagoo/claude-telegram-relay,Minimal pattern for running Claude Code as an always-on Telegram bot. Cross-platform daemon setup included.,2026-02-05T10:48:23Z,148,TypeScript,claude code created:>2026-01-27
cs50victor/claude-code-teams-mcp,https://github.com/cs50victor/claude-code-teams-mcp,use claude code's agent teams orchestraction with any harness,2026-02-06T18:08:01Z,126,Python,claude code created:>2026-01-27
delbaoliveira/learn-claude-code,https://github.com/delbaoliveira/learn-claude-code,,2026-02-03T13:13:26Z,132,JavaScript,claude code created:>2026-01-27
win4r/claude-code-clawdbot-skill,https://github.com/win4r/claude-code-clawdbot-skill,A Clawdbot skill to run Claude Code (Anthropic) on the host via the claude CLI (Agent SDK).,2026-01-30T07:52:25Z,57,Python,claude code created:>2026-01-27
doneyli/claude-code-langfuse-template,https://github.com/doneyli/claude-code-langfuse-template,Self-hosted Langfuse for Claude Code session observability,2026-01-30T01:52:08Z,53,Shell,claude code created:>2026-01-27
owshq-academy/btc-zero-prd-claude-code,https://github.com/owshq-academy/btc-zero-prd-claude-code,Do Zero a ProduÃ§Ã£o Claude Code,2026-01-28T22:40:36Z,26,Python,claude code created:>2026-01-27
theNetworkChuck/remote-claude-code,https://github.com/theNetworkChuck/remote-claude-code,"Run Claude Code on a VPS and access it from your phone, tablet, or any device. Code from anywhere.",2026-01-29T17:37:27Z,59,Unknown,claude code created:>2026-01-27
zacdcook/claude-code-semantic-memory,https://github.com/zacdcook/claude-code-semantic-memory,Persistent semantic memory system for Claude Code,2026-01-29T02:55:32Z,72,Shell,claude code created:>2026-01-27
Sstobo/Claude-Code-Game-Master,https://github.com/Sstobo/Claude-Code-Game-Master,Total conversion for Claude Code. Use RAG and the RPG ruleset apis to play a persistent adventure in any book or world of your choosing.,2026-02-08T14:34:55Z,43,Python,claude code created:>2026-01-27
jlia0/tinyclaw,https://github.com/jlia0/tinyclaw,TinyClaw is a tiny wrapper of Claude Code that acts as your 24/7 personal assistant,2026-02-09T00:34:11Z,489,Shell,claude code created:>2026-01-27
chrishutchinson/claude-receipts,https://github.com/chrishutchinson/claude-receipts,Bring receipts from your Claude Code sessions,2026-01-29T07:49:01Z,89,TypeScript,claude code created:>2026-01-27
aaddrick/claude-pipeline,https://github.com/aaddrick/claude-pipeline,"Portable Claude Code multi-agent pipeline - skills, agents, hooks, orchestration scripts, and quality gates",2026-02-06T16:18:18Z,66,Shell,claude code created:>2026-01-27
axtonliu/smart-illustrator,https://github.com/axtonliu/smart-illustrator,AI-powered article illustrations with intelligent position detection and cover learning system. Claude Code Skill.,2026-02-01T16:46:36Z,192,TypeScript,claude code created:>2026-01-27
decebals/claude-code-java,https://github.com/decebals/claude-code-java,"Reusable AI development infrastructure for Java projects, optimized for Claude Code",2026-01-30T09:26:22Z,21,Shell,claude code created:>2026-01-27
SimoneAvogadro/android-reverse-engineering-skill,https://github.com/SimoneAvogadro/android-reverse-engineering-skill,Claude Code skill to support Android app's reverse engineering,2026-02-02T15:57:57Z,65,Shell,claude code created:>2026-01-27
zep-us/zeude,https://github.com/zep-us/zeude,Enterprise monitoring for Claude Code,2026-02-08T18:26:50Z,35,TypeScript,claude code created:>2026-01-27
NoobyGains/claude-pulse,https://github.com/NoobyGains/claude-pulse,"Real-time usage monitor for Claude Code â€” session limits, weekly limits, and plan tier with colour-coded progress bars",2026-02-07T20:12:45Z,103,Python,claude code created:>2026-01-27
zaferayan/skills,https://github.com/zaferayan/skills,Expo mobile app development skill for Claude Code,2026-01-29T08:12:36Z,94,Unknown,claude code created:>2026-01-27
anthroos/claude-code-review-skill,https://github.com/anthroos/claude-code-review-skill,Free AI-powered code review skill for Claude Code CLI â€” alternative to CodeRabbit,2026-02-03T17:16:51Z,29,Unknown,claude code created:>2026-01-27
